com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
135922,,2023-11-07 10:00:53.743,,,2023-11-07 12:48:31.907,2023-11-07 12:48:31.907,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 10:03:09.665,78f55951-c9b6-4298-9e2f-b112b2b94f04,
118340,,2023-11-07 10:16:47.443,,,2023-11-07 12:48:31.907,2023-11-07 12:48:31.907,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 10:18:45.783,7e9ce3c3-8b45-4880-b4c9-9364f1e7c4a6,
116490,,2023-11-07 10:29:16.791,,,2023-11-07 12:48:31.907,2023-11-07 12:48:31.907,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 10:31:13.281,b7c1b774-547a-4c82-82c3-d1382c3dc87a,
87790,,2023-11-07 12:02:48.246,,,2023-11-07 12:48:31.908,2023-11-07 12:48:31.908,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 12:04:16.036,a982f493-9497-4f7d-b8b5-14f380be9fa9,
146582,,2023-11-08 05:11:04.451,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:13:31.033,10c7a6ec-9efc-4fd2-b8e7-bbfeea620e42,
79169,,2023-11-08 05:23:11.589,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:24:30.758,d32e4e99-823d-4dbd-a4fb-1cf4eb3d9e88,
118523,,2023-11-08 05:30:33.988,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:32:32.511,c412998d-265c-411a-85cd-d3a49d97e5b8,
268157,,2023-11-08 05:34:33.710,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:39:01.867,3618fb40-2e58-464e-8cdf-9fb45b65c926,
238623,,2023-11-08 05:40:33.708,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:44:32.331,607a49bb-f555-40a2-8d19-e92659fc5c19,
143430,,2023-11-08 05:45:06.860,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 05:47:30.290,32199468-57d5-4c09-9128-a15ea486f485,
81674,,2023-11-08 06:02:11.769,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 06:03:33.443,dd32312f-235b-4228-a8ef-885326dcf929,
78612,,2023-11-08 06:29:42.331,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 06:31:00.943,0300da49-1235-4893-9cf2-9d3b14c40dc8,
589070,,2023-11-08 06:41:10.386,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 06:50:59.456,472256d2-d53d-41e7-aa13-a37ac94faadf,
178157,,2023-11-08 06:51:33.895,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 06:54:32.052,b389ab0f-8b11-471c-a137-965c14c33f25,
443150,,2023-11-08 06:55:05.658,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 07:02:28.808,026f1231-23c3-412b-94f4-d3b277cba86d,
290834,,2023-11-08 07:19:35.097,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 07:24:25.931,8002ae97-d6d0-441f-aa5e-78c3e83d4bc8,
263342,,2023-11-08 07:37:09.730,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 07:41:33.072,b2d51d21-00df-4276-8e54-033ec47f4eb6,
111947,,2023-11-08 07:42:04.822,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 07:43:56.769,e5acffb2-cb1b-4a65-8790-a00406aa176c,
114450,,2023-11-08 07:46:03.709,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 07:47:58.159,106841a9-329b-4103-b985-ac45f0c05e60,
88074,,2023-11-08 08:09:33.707,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:11:01.781,e9a52706-32db-45cc-9870-76f4a0390787,
226476,,2023-11-08 08:13:42.146,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:17:28.622,cff215a0-5cb7-4dc1-b80a-1d6f26afb13b,
116676,,2023-11-08 08:21:04.449,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:23:01.125,3c942bd3-f614-4cbf-8feb-3d67ab9dde5c,
